Código Institución,Código Modular,Anexo,Nombre de SS.EE.,Ubigeo,Departamento,Provincia,Distrito,Código DRE/UGEL,DRE / UGEL,Centro Poblado,Código Centro Poblado,Código Local,Dirección,Nivel / Modalidad,Gestion / Dependencia,Latitud,Longitud,Altitud,Fuente de coordenadas
20177055.0,917864,0,17258,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,ALTO NUMPATKAIM,545022,4574.0,ALTO NUMPATKAIM,Primaria,Pública - Sector Educación,-5.2644067,-78.43664417,328,MED_GPS (LOCAL)
20177055.0,1686401,0,17258,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,ALTO NUMPATKAIM,545022,4574.0,ALTO NUMPATKAIM,Inicial - Jardín,Pública - Sector Educación,-5.2644067,-78.43664417,328,MED_GPS (LOCAL)
,3975879,0,ISLA YAMAKAI,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,ALTO NUMPATKAIM,545022,,COMUNIDAD ISLA YAMAKAI,Inicial No Escolarizado,Pública - Sector Educación,-5.263166,-78.438156,341,MED_REG (LOCAL)
20178531.0,1307537,0,17802,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,EL TAYO,619784,520623.0,EL TAYO,Primaria,Pública - Sector Educación,-5.34565739,-78.47610851,605,MED_GPS (LOCAL)
20184892.0,1686427,0,334,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,EL TAYO,619784,770551.0,EL TAYO,Inicial - Jardín,Pública - Sector Educación,-5.34500347,-78.47489388,582,MED_GPS (LOCAL)
20179945.0,1464866,0,17848,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,MAJUSH ENTSA,682281,591521.0,MAJUSH ENTSA ANEXO,Primaria,Pública - Sector Educación,-5.29437227,-78.42675667,326,MED_GPS (LOCAL)
,1692472,0,MAJUSH ENTSA,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,MAJUSH ENTSA,682281,110851.0,MAJUSH ENTSA,Inicial No Escolarizado,Pública - Sector Educación,-5.293635,-78.427159,334,MED_REG (LOCAL)
20175982.0,623249,0,17151,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,NAJEM,513066,4437.0,NAJEM,Primaria,Pública - Sector Educación,-5.26349995,-78.44031003,329,MED_GPS (LOCAL)
20184711.0,1686443,0,333,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,NAJEM,513066,770570.0,NAJEM,Inicial - Jardín,Pública - Sector Educación,-5.26334605,-78.44024575,325,UGEL_GPS (LOCAL)
20189193.0,1718790,0,SEGUNDO ROMULO GUERRA ROJAS,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,NAJEM,513066,801010.0,NAJEM,Secundaria,Pública - Sector Educación,-5.2634545,-78.4415652,339,UGEL_GPS (LOCAL)
25068556.0,1686393,0,16728,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,PAIK,547722,850661.0,PAIK,Inicial - Jardín,Pública - Sector Educación,-5.20715,-78.45253,907,UGELCENSO_GPS (LOCAL)
25068556.0,270488,0,16728,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,PAIK,547722,4220.0,PAIK,Primaria,Pública - Sector Educación,-5.20619,-78.45274,928,UGELCENSO_GPS (LOCAL)
20174080.0,491886,0,16358,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,SHAIM,540236,3975.0,SHAIM,Primaria,Pública - Sector Educación,-5.2379,-78.487,529,GPS_OTRAS_FUENTES (LOCAL)
20174080.0,1686377,0,16358,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,SHAIM,540236,850656.0,SHAIM,Inicial - Jardín,Pública - Sector Educación,-5.23795,-78.48709,529,UBICACION_WEB_MED (LOCAL)
23147890.0,1663335,0,17867,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,SHAWI,654242,745401.0,SHAWI,Primaria,Pública - Sector Educación,-5.27679326,-78.42693927,341,MED_GPS (LOCAL)
,3912463,0,SHAWI,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,SHAWI,654242,102566.0,SHAWI,Inicial No Escolarizado,Pública - Sector Educación,-5.275762,-78.427083,343,MED_REG (LOCAL)
22869612.0,1546167,0,278,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,TSUNT SUNTSA,518656,629500.0,TSUNT SUNTSA,Inicial - Jardín,Pública - Sector Educación,-5.38939669,-78.45362849,351,UGELCENSO_GPS (LOCAL)
20175311.0,623660,0,17139,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,TSUNTSUNTSA,518656,4338.0,TSUNTSUNTSA S/N,Primaria,Pública - Sector Educación,-5.38901331,-78.4538809,355,UGELCENSO_GPS (LOCAL)
20173580.0,402297,0,16320,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,TUTUMBEROS,131261,3824.0,TUTUMBEROS,Primaria,Pública - Sector Educación,-5.33737806,-78.45449016,355,MED_GPS (LOCAL)
20184221.0,1620749,0,319,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,TUTUMBEROS,131261,685317.0,TUTUMBEROS,Inicial - Jardín,Pública - Sector Educación,-5.33750726,-78.45491702,371,MED_GPS (LOCAL)
26280141.0,1693233,0,GERARDO WEEPIU DAEKAT,10202,AMAZONAS,BAGUA,ARAMANGO,10009,IBIR-IMAZA,TUTUMBEROS,131261,776888.0,TUTUMBEROS,Secundaria,Pública - Sector Educación,-5.33738434,-78.45497138,371,UGELCENSO_GPS (LOCAL)
20174579.0,402339,0,16718,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ACHU,522173,4121.0,NATIVA ACHU S/N,Primaria,Pública - Sector Educación,-4.939923,-78.25261,681,GPS_OTRAS_FUENTES (LOCAL)
20185392.0,1686450,0,340,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ACHU,522173,770589.0,ACHU,Inicial - Jardín,Pública - Sector Educación,-4.93452166,-78.25084421,680,UGEL_GPS (LOCAL)
26098572.0,3041084,0,18862,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,AGKUNIP,693206,910349.0,AGKUNIP,Primaria,Pública - Sector Educación,-5.19625425,-78.19486856,404,MED_REG (LOCAL)
20178876.0,1373000,0,17830,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,AGKUSHIP,616988,534696.0,ANEXO AGKUSHIP,Primaria,Pública - Sector Educación,-5.1549641,-78.14350243,518,GPS_OTRAS_FUENTES (LOCAL)
20188510.0,1743673,0,376,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,AGKUSHIP,616988,818826.0,AGKUSHIP,Inicial - Jardín,Pública - Sector Educación,-5.15489,-78.14285,528,UBICACION_WEB (LOCAL)
20177136.0,745059,0,17336,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,AGUAS TURBIAS,124612,4588.0,AGUAS TURBIAS,Primaria,Pública - Sector Educación,-4.9652,-78.21885,359,MED_GPS (LOCAL)
20185058.0,1686468,0,337,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,AGUAS TURBIAS,124612,770594.0,AGUAS TURBIAS,Inicial - Jardín,Pública - Sector Educación,-4.96467498,-78.21831087,356,UGEL_GPS (LOCAL)
22788027.0,917922,0,17348,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALMENDRO,110953,4705.0,EL ALMENDRO,Primaria,Pública - Sector Educación,-5.27134593,-78.37624335,537,MED_GPS (LOCAL)
,3975878,0,DAPINTS,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO DAPINZA,654677,110864.0,PARQUE COMUNIDAD NAZARETH,Inicial No Escolarizado,Pública - Sector Educación,-5.13238,-78.334563,438,MED_REG (LOCAL)
20189509.0,1412253,0,17837,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO SHAMATAK,682993,563052.0,ANEXO ALTO SHAMATAK - TUYAGKUWAS,Primaria,Pública - Sector Educación,-4.61842,-78.600928,779,GPS_OTRAS_FUENTES (LOCAL)
20187522.0,1732700,0,365,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO SHAMATAK,682993,810463.0,ALTO SHAMATAK COMUNIDAD NATIVA,Inicial - Jardín,Pública - Sector Educación,-4.61860521,-78.59999887,773,UGEL_GPS (LOCAL)
20175230.0,1711886,0,17137,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO TUNTUS,684383,850637.0,ALTO TUNTUS,Inicial - Jardín,Pública - Sector Educación,-4.66033,-78.5922,720,UGELCENSO_GPS (LOCAL)
20175230.0,593889,0,17137,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO TUNTUS,684383,4319.0,ALTO TUNTUS,Primaria,Pública - Sector Educación,-4.66215594,-78.5913802,720,UGELCENSO_GPS (LOCAL)
24447928.0,3014644,0,MARCIAL TIWI UGKUM,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO TUNTUS,684383,903042.0,ALTO TUNTUS,Secundaria,Pública - Sector Educación,-4.660372,-78.59228472,720,MED_REG (LOCAL)
,3998099,0,YAYA,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ALTO WAWAS,654669,104898.0,ALTO WAWAS,Inicial No Escolarizado,Pública - Sector Educación,-5.321891,-78.293026,566,MED_REG (LOCAL)
20187786.0,1732726,0,367,10205,AMAZONAS,BAGUA,IMAZA,10009,IBIR-IMAZA,ANEXO ALTO PAGKI,683355,810482.0,ANEXO ALTO PAGKI,Inicial - Jardín,Pública - Sector Educación,-5.05823855,-78.42699048,406,UGEL_GPS (LOCAL)
